pattern;color;material;;brand;image_1;image_2;image_3;image_4;image_5;image_6;image_7;image_8;image_9;image_10;image_11;image_12;image_13;image_14;image_15;image_16;image_17;image_18;image_19;image_20;;;;
elbnp00129;gzh0;elbnp00129-gzh0;ELBNP00129-GZH0;element;elbnp00129_element,f_gzh0_frt1.jpg;elbnp00129_element,f_gzh0_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbnp00132;csn0;elbnp00132-csn0;ELBNP00132-CSN0;element;elbnp00132_element,f_csn0_frt1.jpg;elbnp00132_element,f_csn0_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbsf00196;ecn;elbsf00196-ecn;ELBSF00196-ECN;element;elbsf00196_element,f_ecn_frt1.jpg;elbsf00196_element,f_ecn_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbsf00196;fbk;elbsf00196-fbk;ELBSF00196-FBK;element;elbsf00196_element,f_fbk_frt1.jpg;elbsf00196_element,f_fbk_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbsf00196;rra0;elbsf00196-rra0;ELBSF00196-RRA0;element;elbsf00196_element,f_rra0_frt1.jpg;elbsf00196_element,f_rra0_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbsf00197;blz0;elbsf00197-blz0;ELBSF00197-BLZ0;element;elbsf00197_element,f_blz0_frt1.jpg;elbsf00197_element,f_blz0_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbsf00197;fbk;elbsf00197-fbk;ELBSF00197-FBK;element;elbsf00197_element,f_fbk_frt1.jpg;elbsf00197_element,f_fbk_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbsf00197;rra0;elbsf00197-rra0;ELBSF00197-RRA0;element;elbsf00197_element,f_rra0_frt1.jpg;elbsf00197_element,f_rra0_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbsf00198;ecn;elbsf00198-ecn;ELBSF00198-ECN;element;elbsf00198_element,f_ecn_frt1.jpg;elbsf00198_element,f_ecn_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbsf00198;gsl0;elbsf00198-gsl0;ELBSF00198-GSL0;element;elbsf00198_element,f_gsl0_frt1.jpg;elbsf00198_element,f_gsl0_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbsf00199;ecn;elbsf00199-ecn;ELBSF00199-ECN;element;elbsf00199_element,f_ecn_frt1.jpg;elbsf00199_element,f_ecn_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbsf00199;fbk;elbsf00199-fbk;ELBSF00199-FBK;element;elbsf00199_element,f_fbk_frt1.jpg;elbsf00199_element,f_fbk_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbsf00199;gzh0;elbsf00199-gzh0;ELBSF00199-GZH0;element;elbsf00199_element,f_gzh0_frt1.jpg;elbsf00199_element,f_gzh0_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbsf00201;bmk0;elbsf00201-bmk0;ELBSF00201-BMK0;element;elbsf00201_element,f_bmk0_frt1.jpg;elbsf00201_element,f_bmk0_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbsf00202;kta0;elbsf00202-kta0;ELBSF00202-KTA0;element;elbsf00202_element,f_kta0_frt1.jpg;elbsf00202_element,f_kta0_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbsf00203;fbk;elbsf00203-fbk;ELBSF00203-FBK;element;elbsf00203_element,f_fbk_frt1.jpg;elbsf00203_element,f_fbk_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbsf00203;gzh0;elbsf00203-gzh0;ELBSF00203-GZH0;element;elbsf00203_element,f_gzh0_frt1.jpg;elbsf00203_element,f_gzh0_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbsf00204;bmk0;elbsf00204-bmk0;ELBSF00204-BMK0;element;elbsf00204_element,f_bmk0_frt1.jpg;elbsf00204_element,f_bmk0_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbsf00205;kta0;elbsf00205-kta0;ELBSF00205-KTA0;element;elbsf00205_element,f_kta0_frt1.jpg;elbsf00205_element,f_kta0_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbsf00206;gzh0;elbsf00206-gzh0;ELBSF00206-GZH0;element;elbsf00206_element,f_gzh0_frt1.jpg;elbsf00206_element,f_gzh0_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbsf00207;kta0;elbsf00207-kta0;ELBSF00207-KTA0;element;elbsf00207_element,f_kta0_frt1.jpg;elbsf00207_element,f_kta0_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbsf00208;kta0;elbsf00208-kta0;ELBSF00208-KTA0;element;elbsf00208_element,f_kta0_frt1.jpg;elbsf00208_element,f_kta0_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbsf00209;ecn;elbsf00209-ecn;ELBSF00209-ECN;element;elbsf00209_element,f_ecn_frt1.jpg;elbsf00209_element,f_ecn_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
elbsf00210;fbk;elbsf00210-fbk;ELBSF00210-FBK;element;elbsf00210_element,f_fbk_frt1.jpg;elbsf00210_element,f_fbk_bck1.jpg;;;;;;;;;;;;;;;;;;;;;;
